"geometry",".tidygraph_node_index"
c(10.1901972, 56.1453429),NA
c(10.1895185, 56.1449932),NA
c(10.1886603, 56.1445761),311
c(10.193432, 56.1487122),312
c(10.1941227, 56.1488108),NA
c(10.1948251, 56.1488297),NA
c(10.1952996, 56.1488421),313
c(10.1947135, 56.1479901),314
c(10.1952327, 56.148391),NA
c(10.1954315, 56.1485428),NA
c(10.1956044, 56.148678),315
c(10.1951366, 56.1478064),NA
c(10.1956906, 56.1475651),316
c(10.1850861, 56.1628568),317
c(10.1854068, 56.1627538),NA
c(10.1862013, 56.1624887),NA
c(10.1862895, 56.1624595),NA
c(10.1873322, 56.1620192),318
c(10.1999183, 56.1451141),319
c(10.2043663, 56.1443896),320
c(10.2026013, 56.1442668),322
c(10.2029205, 56.144289),NA
c(10.2032181, 56.1443079),NA
c(10.2035062, 56.1443298),NA
c(10.2038828, 56.1443556),NA
c(10.2043549, 56.1447672),323
c(10.2038733, 56.1447262),NA
c(10.2037851, 56.144721),NA
c(10.2034108, 56.1446881),NA
c(10.2031261, 56.1446647),NA
c(10.2028296, 56.1446394),NA
c(10.2025113, 56.1446127),324
c(10.2012244, 56.1433754),325
c(10.2013249, 56.143413),NA
c(10.202516, 56.1435586),NA
c(10.2027718, 56.1435773),NA
c(10.2030187, 56.1435879),NA
c(10.2042958, 56.1436208),326
c(10.2013964, 56.1441695),NA
c(10.2004023, 56.1440742),327
c(10.2011155, 56.1452137),328
c(10.20123, 56.1447882),NA
c(10.2021549, 56.1487425),332
c(10.199017, 56.1484536),NA
c(10.1989891, 56.1487158),334
c(10.2010974, 56.1486974),335
c(10.1974581, 56.1488316),337
c(10.198981, 56.1487636),NA
